base_word,pos_kr,pos_tag,level,homonym
가게,명사,Noun,1,False
가격,명사,Noun,1,False
가구,명사,Noun,1,False
가깝다,형용사,Adjective,1,False
가다,동사,Verb,1,False
가르치다,동사,Verb,1,False
가방,명사,Noun,1,False
가볍다,형용사,Adjective,1,False
가수,명사,Noun,1,False
가요,명사,Noun,1,False
가운데,명사,Noun,1,False
가을,명사,Noun,1,False
가장,부사,Adverb,1,False
가족,명사,Noun,1,False
가지,의존명사,Noun,1,False
가지다,동사,Verb,1,False
갈비,명사,Noun,1,False
갈비탕,명사,Noun,1,False
갈아타다,동사,Verb,1,False
감,명사,Noun,1,False
감기,명사,Noun,1,False
감사,명사,Noun,1,False
값,명사,Noun,1,False
같다,형용사,Adjective,1,False
같이,부사,Adverb,1,False
개,명사,Noun,1,True
개,의존명사,Noun,1,True
거기,대명사,Noun,1,False
거실,명사,Noun,1,False
건강,명사,Noun,1,False
건너편,명사,Noun,1,False
건물,명사,Noun,1,False
걷다,동사,Verb,1,False
걸다,동사,Verb,1,False
걸리다,동사,Verb,1,False
것,의존명사,Noun,1,False
게임,명사,Noun,1,False
겨울,명사,Noun,1,False
계속,부사,Adverb,1,False
계속,명사,Noun,1,False
계시다,동사,Verb,1,False
계절,명사,Noun,1,False
계획,명사,Noun,1,False
고기,명사,Noun,1,False
고르다,동사,Verb,1,False
고맙다,형용사,Adjective,1,False
고양이,명사,Noun,1,False
고프다,형용사,Adjective,1,False
고향,명사,Noun,1,False
곳,명사,Noun,1,False
공부,명사,Noun,1,False
공원,명사,Noun,1,False
공책,명사,Noun,1,False
공항,명사,Noun,1,False
과일,명사,Noun,1,False
괜찮다,형용사,Adjective,1,False
교실,명사,Noun,1,False
교통,명사,Noun,1,False
구,관형사,Determiner,1,False
구,수사,Noun,1,False
구경,명사,Noun,1,False
구두,명사,Noun,1,False
구십,관형사,Determiner,1,False
구십,수사,Noun,1,False
구월,명사,Noun,1,False
국적,명사,Noun,1,False
권,의존명사,Noun,1,False
귀,명사,Noun,1,False
귤,명사,Noun,1,False
그,관형사,Determiner,1,False
그,대명사,Noun,1,False
그것,대명사,Noun,1,False
그래,감탄사,Exclamation,1,False
그래서,부사,Adverb,1,False
그러니까,부사,Adverb,1,False
그러면,부사,Adverb,1,False
그런데,부사,Adverb,1,False
그럼,부사,Adverb,1,False
그럼,감탄사,Exclamation,1,False
그렇다,형용사,Adjective,1,False
그렇지만,부사,Adverb,1,False
그릇,명사,Noun,1,False
그리고,부사,Adverb,1,False
그리다,동사,Verb,1,False
그림,명사,Noun,1,False
그저께,부사,Adverb,1,False
그저께,명사,Noun,1,False
그쪽,대명사,Noun,1,False
극장,명사,Noun,1,False
