implementation,n,limit,runtime_seconds
parallel,1,1,14
parallel,1,8,64
parallel,1,16,143
parallel,1,32,329
parallel,1,64,639
parallel,1,128,1884
parallel,1,256,3097
parallel,4,1,10
parallel,4,8,236
parallel,4,16,353
parallel,4,32,619
parallel,4,64,881
parallel,4,128,1589
parallel,4,256,2592
parallel,8,1,17
parallel,8,8,78
parallel,8,16,177
parallel,8,32,319
parallel,8,64,702
parallel,8,128,1609
parallel,8,256,2675
parallel,16,1,28
parallel,16,8,260
parallel,16,16,192
parallel,16,32,361
parallel,16,64,795
parallel,16,128,1907
parallel,16,256,3125
